"","text","score"
"1","weere in this together folk much love to tom hank everyone else need care ffaedaefbf coronaviruspandemic coronavirus covid tomhanks medicareforall notmeus",0.746
"2","ecthis isnet a week the this will be a to month waveed get your duct folk store are running out quick coronavircbcscbc coronavirusitalianews covid covid covcbd covid coronavirusoutbreakeaaefbfea",-0.066
"3","today pm the grow team at joke about our wfh look were fan of remote pjs doorbell call doggos dark in the background got nothin on u pm sht just got real folk chargebee announce all office global will wfh bringgit eaaefbfcovid",0.177
"4","diversey i proud to be help school in denver colorado fight against the sarscov coronavirus covid ease by use oxivircae tb with ahp technology to keep everyone safe",0.279
"5","some of yeall didnet drink water straight from the mangera a kid and it show covid fabfbedefbf",0.125
"6","shut up grow up we the people are mad because you are try to kill u trump eaaefbf ectrump mad at covid work with pelosied by",0.177
"7","at this rate the on way we could be enjoy football i on our game sole fafbedefbf covid uefa",0.125
"8","your act of kind was a wonderful the thank you edaefbf covid",0.746
"9","covid coronavirus i the numb one trend topic these day here at voicefoundry we are focus on help you navigate the urgent demand for crease custom and agent support read more hereaefbf",0.147
"10","choose wise fbcfbfdbfafbcedefbfafa higherawakening thegreatawakening coronavirushoax coronavirus covid covid th chakra studio",0.125
"11","edc to covid iem free to go fdfcfbc insta highlight for the full story ffaa thank for the support everyone kept me sane for the day ffab wash your hand stop panic buy selfquarantine covid covid coronavirus washyourhands",0.271
"12","intermeddler ho ching our inhouse china and covid excuse me tongue stick out ert praise china eacefbf also pm said situate in china i stabilize base on what when therees a new blackout there well here too why didnet we stop travel from wuhan from getgo",0.389
"13","coronavirus covid i in the airffebeaefbf dispuesto a hacerte suyo ffaaffaa en around the world",0.657
"14","responsibility smart smile laugh thats why i love edaefbf covid covid covidebc covid covidcanada covid covidusa usa canada",0.746
"15","we need to focus people edaefbfwe can do it covid covid covidebc covid covidcanada covid covidusa usa canada",0.746
"16","humor the cop skill of champion ff stay safe out there edaefbf beingunnormal podcast mentalhealth coronavirus maslowshierarchyofneeds tolietpaper covid stayinformed besafe pnw",0.746
"17","close due to pandemic coronavirus covid piedmont italia verse dontgiveup iloveitaly ea",0.657
"18","instead of fear letes speak godes word over each one of u our family and each otherfbfbfb thank you for this time mind that god i faithfuledaefbf covid psalm faith",0.746
"19","meet in the apartment complex on covid prevention action ha generate to a bate on right v duty ffaaedeefbf",0.125
"20","just a little inspiration in these difficult and try time nba vanessabryant nike lakers coronavirus kingjames rudygobert espn mlb coachella delfunkboymusic snoopdogg pandemic vitaminc zinc hiphop gigilifedaefbfbe kobeandgigi kobebryant dontpanic",0.746
"21","due to the current new about the pandemic of the corona virus we will continue to risk our live to fix your garage door ffce eda coronavirus pandemic panic freakout weareallgoingtodie theworldgonemadea",0.746
